layer,position,kind,logit_diff_base,logit_diff_donor,logit_diff_patched,recovery,set,entity_id,model
2,-4,real,-52.40558958053589,9.279396057128906,-51.9179847240448,0.007904757558918158,forget,for_000,M_gd_s2
2,-3,real,-52.40558958053589,9.279396057128906,-51.05560755729675,0.02188509909313877,forget,for_000,M_gd_s2
2,-2,real,-52.40558958053589,9.279396057128906,-39.9489221572876,0.2019400230781972,forget,for_000,M_gd_s2
2,-1,real,-52.40558958053589,9.279396057128906,-52.20619463920593,0.0032324712289177496,forget,for_000,M_gd_s2
2,-8,random_position,-52.40558958053589,9.279396057128906,-52.37424373626709,0.0005081600318904684,forget,for_000,M_gd_s2
3,-6,real,-52.40558958053589,9.279396057128906,-52.40223169326782,5.443605495493677e-05,forget,for_000,M_gd_s2
3,-5,real,-52.40558958053589,9.279396057128906,-52.16243898868561,0.003941811598669048,forget,for_000,M_gd_s2
3,-4,real,-52.40558958053589,9.279396057128906,-51.783653140068054,0.010082460651301191,forget,for_000,M_gd_s2
3,-3,real,-52.40558958053589,9.279396057128906,-51.61438536643982,0.012826528302098862,forget,for_000,M_gd_s2
3,-2,real,-52.40558958053589,9.279396057128906,-32.88077163696289,0.31652464115434864,forget,for_000,M_gd_s2
3,-1,real,-52.40558958053589,9.279396057128906,-51.98737931251526,0.006779774100575798,forget,for_000,M_gd_s2
3,-11,random_position,-52.40558958053589,9.279396057128906,-52.262948751449585,0.0023124075917626114,forget,for_000,M_gd_s2
4,-6,real,-52.40558958053589,9.279396057128906,-52.387983322143555,0.0002854221041041083,forget,for_000,M_gd_s2
4,-5,real,-52.40558958053589,9.279396057128906,-52.25935220718384,0.0023707126108619596,forget,for_000,M_gd_s2
4,-4,real,-52.40558958053589,9.279396057128906,-51.61372148990631,0.012837290670390685,forget,for_000,M_gd_s2
4,-3,real,-52.40558958053589,9.279396057128906,-51.912352442741394,0.007996064726216365,forget,for_000,M_gd_s2
4,-2,real,-52.40558958053589,9.279396057128906,-26.41272735595703,0.4213806967105402,forget,for_000,M_gd_s2
4,-1,real,-52.40558958053589,9.279396057128906,-51.56852900981903,0.013569924059538883,forget,for_000,M_gd_s2
4,-8,random_position,-52.40558958053589,9.279396057128906,-52.42114520072937,-0.0002521783872149141,forget,for_000,M_gd_s2
5,-6,real,-52.40558958053589,9.279396057128906,-52.389315605163574,0.00026382393063860226,forget,for_000,M_gd_s2
5,-5,real,-52.40558958053589,9.279396057128906,-52.15852499008179,0.004005262997147302,forget,for_000,M_gd_s2
5,-4,real,-52.40558958053589,9.279396057128906,-51.46630311012268,0.015227149049373865,forget,for_000,M_gd_s2
5,-3,real,-52.40558958053589,9.279396057128906,-52.01857328414917,0.006274076136777228,forget,for_000,M_gd_s2
5,-2,real,-52.40558958053589,9.279396057128906,-19.757726669311523,0.5292675774133537,forget,for_000,M_gd_s2
5,-1,real,-52.40558958053589,9.279396057128906,-51.134680196642876,0.02060322087709131,forget,for_000,M_gd_s2
5,-10,random_position,-52.40558958053589,9.279396057128906,-52.36890697479248,0.0005946764089219442,forget,for_000,M_gd_s2
6,-6,real,-52.40558958053589,9.279396057128906,-52.38436579704285,0.0003440672519194488,forget,for_000,M_gd_s2
6,-5,real,-52.40558958053589,9.279396057128906,-52.1423544883728,0.004267409474800215,forget,for_000,M_gd_s2
6,-4,real,-52.40558958053589,9.279396057128906,-51.40134084224701,0.016280278383913348,forget,for_000,M_gd_s2
6,-3,real,-52.40558958053589,9.279396057128906,-51.991896986961365,0.006706536271314678,forget,for_000,M_gd_s2
6,-2,real,-52.40558958053589,9.279396057128906,-16.141185760498047,0.587896770099835,forget,for_000,M_gd_s2
6,-1,real,-52.40558958053589,9.279396057128906,-49.21608543395996,0.051706328754146935,forget,for_000,M_gd_s2
6,-2,random_position,-52.40558958053589,9.279396057128906,-16.141185760498047,0.587896770099835,forget,for_000,M_gd_s2
7,-6,real,-52.40558958053589,9.279396057128906,-52.39307761192322,0.00020283653280176987,forget,for_000,M_gd_s2
7,-5,real,-52.40558958053589,9.279396057128906,-52.147900342941284,0.004177503405905953,forget,for_000,M_gd_s2
7,-4,real,-52.40558958053589,9.279396057128906,-51.39770805835724,0.01633917089806759,forget,for_000,M_gd_s2
7,-3,real,-52.40558958053589,9.279396057128906,-52.219247817993164,0.0030208609212829985,forget,for_000,M_gd_s2
7,-2,real,-52.40558958053589,9.279396057128906,-12.577003479003906,0.6456771561151614,forget,for_000,M_gd_s2
7,-1,real,-52.40558958053589,9.279396057128906,-47.11414575576782,0.08578171446532876,forget,for_000,M_gd_s2
7,-7,random_position,-52.40558958053589,9.279396057128906,-52.393367528915405,0.00019813657236260465,forget,for_000,M_gd_s2
