accuracy,control_task_accuracy,selectivity,chance,n_train,n_test,seed,probe,layer,model,set,condition
0.9861111111111112,0.16666666666666666,0.8194444444444445,0.08333333333333333,216,72,11,logistic,9,M_injected,forget,M_injected:forget
0.9166666666666666,0.18055555555555555,0.736111111111111,0.08333333333333333,216,72,12,logistic,9,M_injected,forget,M_injected:forget
0.8611111111111112,0.0,0.8611111111111112,0.08333333333333333,216,72,13,logistic,9,M_injected,forget,M_injected:forget
0.7638888888888888,0.08333333333333333,0.6805555555555555,0.08333333333333333,216,72,14,logistic,9,M_injected,forget,M_injected:forget
0.7361111111111112,0.08333333333333333,0.6527777777777778,0.08333333333333333,216,72,15,logistic,9,M_injected,forget,M_injected:forget
0.9583333333333334,0.08333333333333333,0.875,0.08333333333333333,216,72,16,logistic,9,M_injected,forget,M_injected:forget
0.875,0.013888888888888888,0.8611111111111112,0.08333333333333333,216,72,17,logistic,9,M_injected,forget,M_injected:forget
0.7638888888888888,0.0,0.7638888888888888,0.08333333333333333,216,72,18,logistic,9,M_injected,forget,M_injected:forget
0.75,0.16666666666666666,0.5833333333333334,0.08333333333333333,216,72,19,logistic,9,M_injected,forget,M_injected:forget
0.9027777777777778,0.16666666666666666,0.7361111111111112,0.08333333333333333,216,72,0,logistic,10,M_injected,forget,M_injected:forget
0.9027777777777778,0.1527777777777778,0.75,0.08333333333333333,216,72,1,logistic,10,M_injected,forget,M_injected:forget
0.875,0.08333333333333333,0.7916666666666666,0.08333333333333333,216,72,2,logistic,10,M_injected,forget,M_injected:forget
0.9166666666666666,0.041666666666666664,0.875,0.08333333333333333,216,72,3,logistic,10,M_injected,forget,M_injected:forget
0.9722222222222222,0.16666666666666666,0.8055555555555556,0.08333333333333333,216,72,4,logistic,10,M_injected,forget,M_injected:forget
0.9166666666666666,0.06944444444444445,0.8472222222222222,0.08333333333333333,216,72,5,logistic,10,M_injected,forget,M_injected:forget
0.8333333333333334,0.0,0.8333333333333334,0.08333333333333333,216,72,6,logistic,10,M_injected,forget,M_injected:forget
0.9027777777777778,0.08333333333333333,0.8194444444444444,0.08333333333333333,216,72,7,logistic,10,M_injected,forget,M_injected:forget
0.7777777777777778,0.08333333333333333,0.6944444444444444,0.08333333333333333,216,72,8,logistic,10,M_injected,forget,M_injected:forget
0.8333333333333334,0.0,0.8333333333333334,0.08333333333333333,216,72,9,logistic,10,M_injected,forget,M_injected:forget
0.8472222222222222,0.16666666666666666,0.6805555555555556,0.08333333333333333,216,72,10,logistic,10,M_injected,forget,M_injected:forget
1.0,0.1527777777777778,0.8472222222222222,0.08333333333333333,216,72,11,logistic,10,M_injected,forget,M_injected:forget
0.9027777777777778,0.3055555555555556,0.5972222222222222,0.08333333333333333,216,72,12,logistic,10,M_injected,forget,M_injected:forget
0.9305555555555556,0.08333333333333333,0.8472222222222222,0.08333333333333333,216,72,13,logistic,10,M_injected,forget,M_injected:forget
0.7361111111111112,0.08333333333333333,0.6527777777777778,0.08333333333333333,216,72,14,logistic,10,M_injected,forget,M_injected:forget
0.8333333333333334,0.08333333333333333,0.75,0.08333333333333333,216,72,15,logistic,10,M_injected,forget,M_injected:forget
1.0,0.0,1.0,0.08333333333333333,216,72,16,logistic,10,M_injected,forget,M_injected:forget
0.9166666666666666,0.0,0.9166666666666666,0.08333333333333333,216,72,17,logistic,10,M_injected,forget,M_injected:forget
0.7777777777777778,0.027777777777777776,0.75,0.08333333333333333,216,72,18,logistic,10,M_injected,forget,M_injected:forget
