model,set,layer,cka,pca_similarity,pca_shift
M_npo_s2,generic,1,0.9981789084896345,0.9803891874449242,0.626019315648591
M_npo_s2,generic,2,0.9975749987097497,0.9551392891212023,0.545610811199975
M_npo_s2,generic,3,0.9973608551502652,0.9792139037009282,0.2449899175339017
M_npo_s2,generic,4,0.9979220937266409,0.9145457164888354,0.5026317881424075
M_npo_s2,generic,5,0.9969957994562471,0.8558691114588936,0.44839943335419197
M_npo_s2,generic,6,0.9958036979538415,0.9604224249176468,0.2834956217428435
M_npo_s2,generic,7,0.9944588461083033,0.9320221442963424,1.7034302696890375
M_npo_s2,generic,8,0.9938930648609412,0.8374943746397878,1.152221083520936
M_npo_s2,generic,9,0.9940990338212894,0.9193456419884883,2.6570852354238976
M_npo_s2,generic,10,0.9949183851535361,0.9353648623646157,3.89715722052389
M_npo_s2,generic,11,0.9818712275280732,0.8417639616466464,28.492286394298457
M_gd_s2,forget,0,0.999867870548924,0.9889424822765001,0.10664314917948191
M_gd_s2,forget,1,0.9999387466217149,0.9428386776992739,0.10896107496788399
M_gd_s2,forget,2,0.9999363210230688,0.9111839425971289,0.037551930634600376
M_gd_s2,forget,3,0.999762460202933,0.7360864048253346,0.049373884346854184
M_gd_s2,forget,4,0.9995306713315326,0.6924352272796878,0.40690425589084156
M_gd_s2,forget,5,0.9993889564998902,0.7648659400928268,0.37688099262570673
M_gd_s2,forget,6,0.9944553784012764,0.4535152679625279,2.3761327137121766
M_gd_s2,forget,7,0.9640825065237851,0.4473239482334216,0.7556025783810358
M_gd_s2,forget,8,0.8535659620662416,0.33500600456189433,2.888466744723752
M_gd_s2,forget,9,0.6158951897933718,0.1843259219622451,16.692131819096048
M_gd_s2,forget,10,0.5805111392276493,0.2938207262535604,34.39298597680126
M_gd_s2,forget,11,0.5755071963126858,0.22935725558659933,129.63520930083226
M_gd_s2,retain,0,0.999866496639251,0.9933839560749069,0.11059373977152166
M_gd_s2,retain,1,0.9999381136412984,0.9744782395387086,0.09875349228136159
M_gd_s2,retain,2,0.9999383554792911,0.8436218521908803,0.029615467749107106
M_gd_s2,retain,3,0.9997840246285538,0.8968443100682499,0.03799126565491246
M_gd_s2,retain,4,0.9995794252775045,0.8752769801622653,0.3864394778139503
